;2;2;2;2;2;2;2
;g1;g2;g3;g4;g5;g6;g7
a1;-1,2;-1;-1,3;-4;-2,3;-1,3;-3
a2;-1,7;-3;-1,3;-2;-1,3;-4,3;-1,5
a3;-2,8;-2,8;-2,7;-2;-2,3;-2,5;-2
a4;-1,2;-3,2;-2,3;-3;-1,3;-3,8;-2,5
a5;-1,3;-4,3;-2;-4;-2,3;-4,5;-1
a6;-2,3;-3,2;-2;-2;-2;-5;-2
a7;-1,3;-4,5;-1,7;-1;-2,5;-4,8;-2
a8;-1;-4,5;-4;-5;-1,8;-3,8;-1
a9;-1,2;-2,5;-1,3;-4;-1,5;-5;-2
a10;-3,3;-2,7;-3,3;-5;-1,3;-3;-1,5
a11;-2,3;-3;-1,3;-1;-1,8;-4,8;-2
a12;-1;-4;-1,7;-2;-1;-4;-1
a13;-1,8;-2,3;-1,7;-4;-1,8;-4,3;-2
a14;-1,5;-4,7;-2,7;-5;-1,3;-3;-1,5
a15;-1,5;-4,7;-3,3;-5;-1;-3,3;-1,5
a16;-1,3;-4,3;-2,3;-4;-1;-2,3;-1,5
a17;-3,2;-5;-2;-5;-1,3;-3;-1,5
a18;-2,2;-4,7;-1,3;-5;-2,3;-3,3;-1,5
a19;-2;-5;-2,7;-5;-2;-3,8;-1,5
a20;-2,8;-2,3;-3,7;-3;-1,8;-1,5;-3,5
a21;-2;-5;-4;-5;-1;-4,5;-1,5
a22;-2,2;-2;-4;-5;-2,3;-4,5;-2
a23;-3,3;-5;-3,7;-5;-1,8;-4,3;-1
a24;-3,7;-3,8;-2,7;-2;-3,8;-5;-2
a25;-3;-3,7;-3,7;-3;-3,3;-4,8;-2
a26;-2,8;-3,3;-4;-4;-2,8;-3,8;-2,5
a27;-2,7;-3,3;-3,3;-3;-1,8;-3,8;-2
a28;-2,7;-2,8;-4;-2;-3,5;-4,5;-2
a29;-2,7;-3;-2,3;-4;-2,5;-4,8;-2,5
a30;-3,3;-2,8;-3,7;-2;-2;-2,3;-4,5
a31;-3,7;-2,7;-3,3;-4;-3,3;-4,3;-4
a32;-2,3;-3,8;-2,7;-5;-3,3;-5;-2
a33;-3,3;-3,5;-4;-4;-2,3;-1;-4
a34;-2,8;-2,7;-3,7;-4;-3,5;-1,3;-3,5
a35;-1,2;-2,7;-3,7;-2;-4,3;-4;-4
a36;-4;-2,7;-2,7;-4;-2,3;-2,3;-2,5
a37;-3,7;-2,7;-2,7;-5;-2,8;-5;-3
a38;-4,7;-2,8;-4;-5;-4,8;-1,5;-4,5
a39;-3,7;-3;-3,3;-5;-2,8;-1,3;-4
a40;-2,8;-4,2;-2,7;-4;-2,8;-2,5;-3,5
a41;-3,8;-3,3;-1,7;-1;-2;-1,8;-3
a42;-2,7;-3,2;-1,3;-5;-3,3;-3,8;-3,5
a43;-2,7;-4,2;-2,7;-4;-3,8;-5;-3
a44;-2,3;-4;-3,3;-5;-3,3;-4,8;-3
a45;-1,7;-3,5;-3;-5;-4,3;-5;-2,5
a46;-1,8;-2,3;-3,7;-1;-3;-1,8;-5
a47;-4,5;-3,7;-3,7;-5;-4;-4,8;-3,5
a48;-4,3;-2;-2;-4;-3;-3,8;-3
a49;-4;-3,7;-3,7;-4;-2,3;-4,3;-3
a50;-2;-1,5;-1,3;-5;-3;-4;-4
a51;-3;-2,2;-3;-4;-2,8;-3,3;-3,5
a52;-2,5;-1,3;-3,3;-3;-3;-2,3;-5
a53;-3,2;-1,8;-4;-4;-3,8;-4;-2
a54;-3,5;-2,2;-2;-4;-3;-3,3;-2,5
a55;-2,5;-1,3;-3,7;-2;-3,3;-3,8;-5
a56;-3,2;-2,7;-3,3;-5;-3,8;-2,8;-2,5
a57;-3,5;-1,8;-1,7;-4;-4,8;-4;-4,5
a58;-3,3;-3,3;-3,3;-5;-3,8;-4,8;-4
a59;-3,8;-2,8;-4,7;-2;-4,3;-2,8;-4,5
a60;-4;-2,5;-1,7;-5;-4,3;-4,3;-3,5
a61;-1,8;-1,2;-1;-5;-3,5;-3;-4,5
a62;-2,8;-3,5;-2,7;-5;-3,8;-4,8;-3
a63;-4,8;-3;-1,7;-5;-5;-5;-4
a64;-4,3;-2,3;-3,3;-5;-4,8;-5;-3,5
a65;-2,7;-1,3;-1,7;-4;-3,8;-3;-5
a66;-4,5;-2,3;-3,3;-4;-4,8;-4,8;-5
a67;-4;-2,8;-2;-5;-4,8;-4,5;-3,5
a68;-3;-1,5;-3;-5;-4,5;-3;-5
a69;-4,8;-2,7;-4;-5;-4,5;-3,3;-4,5
a70;-4;-3,8;-3,3;-5;-5;-5;-4
