;2;2;2;2;2;2;2
;cost;cost;cost;gain;gain;gain;gain
;g1;g2;g3;g4;g5;g6;g7
a1;36;1;6;4;3;16;3
a2;28;1;2;5;2;20;5
a3;38;1;6;1;3;14;4
a4;28;6;2;6;3;8;3
a5;44;3;2;3;1;11;3
a6;42;4;4;3;3;14;5
a7;30;1;6;4;2;7;3
a8;33;2;4;4;3;17;5
a9;36;3;5;2;3;9;2
a10;27;2;2;4;3;16;5
a11;39;3;4;3;3;5;1
a12;36;1;4;3;3;14;2
a13;37;2;4;5;3;15;3
a14;27;2;3;3;3;18;4
a15;30;3;3;2;3;16;5
a16;33;4;5;4;3;16;3
a17;38;6;3;4;3;13;4
a18;30;2;3;4;3;17;5
a19;32;3;1;3;3;14;4
a20;30;3;3;3;3;20;5
a21;33;12;5;3;3;14;4
a22;37;2;6;2;3;14;1
a23;40;3;1;2;3;12;3
a24;34;3;1;3;3;10;3
a25;28;2;3;3;3;12;4
a26;33;3;5;3;3;12;2
a27;37;6;1;4;3;17;5
a28;34;3;3;2;3;13;5
a29;36;6;3;3;3;15;4
a30;33;5;5;4;3;9;4
a31;34;13;1;2;3;15;5
a32;33;5;4;3;3;14;5
a33;39;3;5;2;3;8;2
a34;37;3;5;4;3;16;4
a35;34;3;3;2;3;14;5
a36;38;4;4;5;3;13;5
a37;33;3;4;5;3;16;5
a38;34;2;4;3;3;16;4
a39;35;2;3;5;3;19;5
a40;34;3;2;4;3;13;5
a41;38;7;6;4;3;10;1
a42;26;5;3;2;1;15;5
a43;34;2;3;3;3;10;3
a44;28;3;4;3;3;14;4
a45;30;1;3;6;3;10;1
a46;31;2;3;2;3;16;5
a47;33;2;3;4;3;15;4
a48;41;2;3;3;3;19;5
a49;40;2;5;2;3;12;2
a50;32;3;1;3;3;16;4
a51;40;4;5;3;3;12;4
