;;;;;;;;
;g1;g2;g3;g4;g5;g6;g7;g8
a95;87,3;87,9;71,9;17,3;2,9;302,9;6,4;63,7
a96;72,9;79;68,1;15,6;5,6;300;5,4;60,6
a97;80,7;83,6;71,5;18,6;3,7;337,6;5,3;58
a98;83,6;84;65,6;21,1;3,9;386,8;5,6;70,1
a99;81,7;82,7;70,3;16,9;4,3;278,8;5,7;54,6
a100;84,1;87,4;66,5;18,3;2,6;351,9;6,5;60,2
a101;85;88;75,7;17,4;5,8;305,5;3,7;60
a102;86,7;87;73,5;19,8;3,2;326,9;5,9;65,7
a103;86,7;88,8;75,2;18,5;4,2;301,7;4,2;65,5
a104;80,6;82,6;72;19,1;4,8;316,4;5,5;64,9
a105;92,1;92,8;72,6;20,2;4,6;293,3;3,3;66,5
a106;80,8;82,8;71,2;17,2;4,3;257,1;5,2;68
a107;82,4;85,2;69,9;19,1;4,7;289,8;3,5;62,6
a108;84,9;86,4;72,7;16;3;276,2;5,4;58,1
a109;92,7;90,8;77,2;16,9;3,4;299,4;3,3;55
a110;79,8;84,1;70,3;16,8;3,2;319;4,7;57,6
a111;81,3;80,8;68,5;19,8;4,1;318,3;6,2;55,1
a112;81,6;84,2;76,1;17,4;5,9;239,8;3,4;58,5
a113;82,7;86;72,1;20,7;3,7;292,6;5;58
a114;75,9;78,5;67,9;20;4,9;278,5;5,8;45,5
a115;81,7;85,6;74,1;17,6;3,4;259,8;3,5;57,4
a116;82;86,4;76,2;19,7;2,6;292,1;4,4;64,6
a117;78,3;81,3;71,2;17,4;2,9;250,4;3,9;47,4
a118;76,1;82,5;71,9;22,1;3;249,7;3,9;67,1
