;2;2;2;2;2;2;2;2;2;2;2;2
;cost;cost;gain;gain;gain;cost;gain;gain;gain;gain;cost;gain
;saidi;severe accident risks;control of corruption;political stability and absece of violence/terrorism;electricity mix diversity;electricity import dependence;equivalent availability factor;GDP per capita;insurance penetration;government effectiveness;average outage time;ease of doing business
Jamaica;2.0;1.07;50.96;50.95;0.19;0.73;81;4885;3.10;63.46;2.86;64.94
Japan;0.4;0.08;91.35;89.05;0.65;0.96;78;47142;2.55;95.19;4.00;75.36
Jordan;4.4;0.56;64.42;25.71;0.33;0.91;84;3974;1.89;59.13;2.44;59.24
Kazakhstan;0.9;1.06;19.71;43.81;0.36;0.95;81;10619;0.56;50.48;0.75;67.99
Kenya;21.4;2.88;13.94;9.52;0.46;0.81;69;1134;1.88;43.27;4.00;54.19
Kosovo;21.4;0.72;34.13;40.48;0.05;0.86;84;3789;1.58;39.90;2.48;50.82
Kuwait;0.1;0.65;51.44;39.05;0.28;0.86;85;35907;0.75;52.88;0.13;59.79
Kyrgyzstan;6.8;6.07;11.06;18.57;0.21;0.84;46;1017;0.10;18.27;1.71;65.12
Latvia;2.5;0.04;67.79;60.48;0.47;1.16;68;14293;1.58;83.65;1.04;77.71
Lebanon;6.8;1.11;19.23;7.14;0.05;0.91;84;7046;2.40;37.02;1.71;56.44
Libya;21.4;0.50;0.96;3.33;0.30;0.64;85;5447;0.40;1.92;3.11;32.84
Lithuania;0.4;0.04;70.67;70.95;0.70;1.16;58;15320;0.50;85.58;1.00;77.58
Luxembourg;0.2;0.02;97.12;98.10;0.49;1.16;54;50108;1.79;93.27;1.00;68.77
Malaysia;0.6;0.96;63.46;56.67;0.45;0.94;81;10879;1.68;76.92;0.86;78.58
Malta;4.5;0.09;78.85;88.57;0.13;1.16;80;24419;1.42;75.48;1.29;64.12
Mauritius;2.0;0.88;65.87;84.76;0.53;0.94;82;9492;2.20;81.73;3.33;74.63
Mexico;0.7;0.07;23.56;21.43;0.58;0.87;79;9980;1.20;61.54;0.78;70.98
Moldova;2.1;0.47;18.27;34.76;0.10;0.81;83;1980;0.90;28.37;1.05;71.11
Mongolia;21.4;0.57;37.50;69.05;0.13;1.11;83;3946;1.58;39.42;1.84;66.15
Montenegro;21.4;3.78;53.85;52.38;0.30;0.98;62;7290;1.80;60.10;1.36;70.16
Morocco;0.1;0.92;52.40;33.81;0.59;0.98;72;3293;1.99;50.96;0.14;64.62
Mozambique;6.8;6.10;24.52;27.62;0.19;0.71;45;511;1.30;23.08;1.71;52.99
Myanmar;6.8;4.20;20.67;10.48;0.33;0.84;58;1643;0.10;10.10;1.71;38.68
Namibia;0.6;6.89;66.35;69.52;0.05;1.16;40;5996;2.15;63.94;2.00;57.00
